"text","label"
"ai là","0"
"là ai","0"
"ai sinh nhật ngày","0"
"trưởng ban","0"
"phó ban","0"
"thành viên","0"
"chức vụ","0"
"họ tên","0"
"chủ nhiệm","0"
"phó chủ nhiệm","0"
"ngày sinh","0"
"mã số sinh viên","0"
"mssv","0"
"tên","0"
"phỏng vấn gen","1"
"AI LAI RAI","1"
"AI LAI RAI HỘT MỨT","1"
"Chúc tết","1"
"Halloween","1"
"Day En Rose","1"
"NATHANIA","1"
"Lookback fall","1"
"Retro night","1"
"Rivaro Adventure","1"
"Fruity K-night","1"
"Teambuilding","1"
"Trung thu","1"
"Hackathon","1"
"Cuộc đua số","1"
"F-Cup","1"
"Sự kiện giải toán","1"
"Sự kiện","1"
